customer_id,customer_name,registration_date,is_vip,order_id,order_date,product_id,product_name,category,unit_price,item_quantity,total_item_price,total_order_value_percentage
1,Customer 1,2022-12-31 04:19:19,True,0,2025-05-03 08:09:20,1,Item 1 for Order 2,Home Goods,52.7,2,105.4,100.0
1,Customer 1,2022-12-31 04:19:19,True,0,2025-05-03 08:09:20,2,Item 2 for Order 2,Misc,498.45,5,2492.25,95.94248647816295
1,Customer 1,2022-12-31 04:19:19,True,0,2025-05-03 08:09:20,3,Item 3 for Order 2,Misc,168.15,1,168.15,6.079615301178682
1,Customer 1,2022-12-31 04:19:19,True,3,2023-09-06 00:42:50,1,Item 1 for Order 3,Electronics,377.96,1,377.96,100.0
1,Customer 1,2022-12-31 04:19:19,True,84,2024-02-27 21:24:16,0,N/A,Misc,0.0,0,0.0,0.0
2,Customer 2,2022-05-27 00:23:28,False,3,2023-01-01 07:32:50,0,N/A,Misc,0.0,0,0.0,0.0
2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,1,Item 1 for Order 5,Misc,342.68,2,685.36,100.0
2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,2,Item 2 for Order 5,Apparel,134.09,0,0.0,0.0
2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,3,Item 3 for Order 5,Electronics,295.97,1,295.97,30.160088858997486
2,Customer 2,2022-05-27 00:23:28,False,5,2024-08-28 19:37:56,4,Item 4 for Order 5,Misc,316.01,4,1264.04,56.29539897656066
2,Customer 2,2022-05-27 00:23:28,False,6,2024-08-19 12:44:15,1,Item 1 for Order 6,Home Goods,404.43,4,1617.72,100.0
2,Customer 2,2022-05-27 00:23:28,False,6,2024-08-19 12:44:15,2,Item 2 for Order 6,Home Goods,145.27,3,435.81000000000006,21.22248031438547
3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,0,Item 3 for Order 7,Home Goods,19.1,5,95.5,6.7335081930225344
3,Customer 3,2022-01-20 00:24:36,False,7,2025-03-19 19:55:40,0,N/A,Misc,0.0,0,0.0,0.0
3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,1,Item 1 for Order 7,Electronics,180.68,3,542.04,100.0
3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,2,Item 2 for Order 7,Misc,390.37,2,780.74,59.02266438863606
3,Customer 3,2022-01-20 00:24:36,False,7,2023-10-21 05:21:52,4,Item 4 for Order 7,Books,393.32,3,1179.96,45.41381858488824
4,Customer 4,2022-05-09 03:51:05,True,0,2025-02-01 21:43:33,1,Item 1 for Order 9,Apparel,498.83,1,498.83,100.0
4,Customer 4,2022-05-09 03:51:05,True,0,2025-02-01 21:43:33,2,   ,Misc,37.13,1,37.13,6.92775580267184
